Ship Date,Month,Year,Ship Mode,Area,Region,Category,Sub-Category,Sold,Profit
2017-05-05,Mei,2017,Standard Class,Jawa,South,Technology,Accessories,10,9000
2017-05-08,Mei,2017,First Class,Sumatra,East,Office Supplies,Labels,60,355200
2017-11-27,November,2017,Standard Class,Bali,Central,Office Supplies,Art,30,116200
2016-11-16,November,2016,Standard Class,Papua,Central,Technology,Phones,260,897800
2015-09-23,September,2015,First Class,Sulawesi,West,Furniture,Chairs,610,0
2015-09-23,September,2015,First Class,Kalimantan,West,Office Supplies,Fasteners,10,30400
2014-12-06,Desember,2014,Standard Class,Papua,Central,Office Supplies,Art,20,17300
2014-09-22,September,2014,First Class,Sulawesi,Central,Office Supplies,Appliances,30,90400
2014-09-22,September,2014,First Class,Kalimantan,Central,Office Supplies,Appliances,40,130600
2014-09-22,September,2014,First Class,Jawa,Central,Office Supplies,Paper,10,37400
2014-04-17,April,2014,Standard Class,Sumatra,West,Technology,Phones,1080,1128900
2014-04-17,April,2014,Standard Class,Bali,West,Technology,Phones,440,460300
2014-04-17,April,2014,Standard Class,Papua,West,Office Supplies,Binders,20,78700
2017-10-27,Oktober,2017,Standard Class,Sulawesi,South,Office Supplies,Art,20,49700
2017-10-27,Oktober,2017,Standard Class,Kalimantan,South,Office Supplies,Paper,40,225400
2017-10-27,Oktober,2017,Standard Class,Kalimantan,South,Office Supplies,Binders,150,840100
2016-10-28,Oktober,2016,First Class,Jawa,South,Technology,Phones,790,940800
2015-11-04,November,2015,First Class,Sumatra,West,Office Supplies,Art,10,21300
2017-11-08,November,2017,Standard Class,Bali,West,Furniture,Furnishings,50,208600
2015-05-16,Mei,2015,Standard Class,Papua,West,Office Supplies,Paper,20,69400
2015-05-16,Mei,2015,Standard Class,Sulawesi,West,Office Supplies,Paper,30,138700
2015-07-27,Juli,2015,Second Class,Kalimantan,West,Office Supplies,Fasteners,10,5700
2015-07-27,Juli,2015,Second Class,Jawa,West,Office Supplies,Paper,20,74700
2015-07-27,Juli,2015,Second Class,Sumatra,West,Furniture,Bookcases,710,676800
2015-07-27,Juli,2015,Second Class,Bali,West,Furniture,Chairs,570,337000
2015-11-18,November,2015,Second Class,Papua,Central,Office Supplies,Paper,180,1014200
2015-11-18,November,2015,Second Class,Sulawesi,Central,Furniture,Furnishings,190,913100
2015-11-18,November,2015,Second Class,Kalimantan,Central,Furniture,Tables,220,436800
2015-11-18,November,2015,Second Class,Jawa,Central,Technology,Accessories,1000,2759900
2015-11-18,November,2015,Second Class,Sumatra,Central,Furniture,Tables,660,1333300
2015-09-08,September,2015,Standard Class,Bali,East,Office Supplies,Binders,120,618900
2015-09-08,September,2015,Standard Class,Papua,East,Furniture,Chairs,70,182300
2015-09-08,September,2015,Standard Class,Sulawesi,East,Furniture,Furnishings,130,328400
2015-09-08,September,2015,Standard Class,Kalimantan,East,Office Supplies,Storage,1090,3788900
2016-05-08,Mei,2016,First Class,Papua,West,Office Supplies,Binders,10,28300
2016-05-08,Mei,2016,First Class,Sulawesi,West,Furniture,Tables,300,89700
2017-01-05,Januari,2017,Standard Class,Kalimantan,West,Technology,Phones,310,272200
2017-09-20,September,2017,First Class,Jawa,Central,Office Supplies,Art,10,6700
2014-09-30,September,2014,Standard Class,Sumatra,Central,Office Supplies,Paper,40,126800
2014-09-30,September,2014,Standard Class,Bali,Central,Office Supplies,Envelopes,10,13300
2016-04-26,April,2016,First Class,Papua,East,Office Supplies,Paper,110,455100
2016-04-26,April,2016,First Class,Sulawesi,East,Office Supplies,Storage,60,75500
2016-04-26,April,2016,First Class,Kalimantan,East,Office Supplies,Paper,80,352400
2014-11-05,November,2014,Standard Class,Kalimantan,West,Technology,Phones,160,655100
2017-01-31,Januari,2017,Second Class,Jawa,South,Office Supplies,Art,20,50200
2017-01-31,Januari,2017,Second Class,Sumatra,South,Office Supplies,Binders,10,41300
2017-11-16,November,2017,Standard Class,Bali,West,Office Supplies,Appliances,20,34000
2017-11-16,November,2017,Standard Class,Papua,West,Office Supplies,Paper,20,112000
2017-11-16,November,2017,Standard Class,Sulawesi,West,Office Supplies,Binders,130,474300
2015-09-08,September,2015,Second Class,Kalimantan,East,Office Supplies,Storage,130,375500
2014-03-19,Maret,2014,Standard Class,Jawa,South,Furniture,Chairs,1140,3419800
2017-09-04,September,2017,Second Class,Sumatra,South,Office Supplies,Paper,230,998600
2017-11-20,November,2017,First Class,Bali,East,Office Supplies,Art,60,171200
2017-04-15,April,2017,Standard Class,Papua,South,Furniture,Furnishings,60,189200
2017-04-15,April,2017,Standard Class,Sulawesi,South,Office Supplies,Binders,2700,15177100
2017-12-22,Desember,2017,Standard Class,Kalimantan,Central,Office Supplies,Paper,30,158900
2016-03-21,Maret,2016,Second Class,Jawa,East,Furniture,Furnishings,20,82700
2016-03-21,Maret,2016,Second Class,Sumatra,East,Furniture,Furnishings,30,83000
2017-08-20,Agustus,2017,Same Day,Bali,East,Office Supplies,Storage,50,125800
2017-07-31,Juli,2017,Standard Class,Papua,Central,Office Supplies,Labels,30,114100
2016-08-29,Agustus,2016,First Class,Sulawesi,West,Furniture,Chairs,1610,1202400
2016-08-17,Agustus,2016,Second Class,Kalimantan,South,Furniture,Chairs,230,270400
2017-05-23,Mei,2017,Standard Class,Papua,South,Technology,Accessories,70,48900
2017-05-23,Mei,2017,Standard Class,Sulawesi,South,Technology,Phones,380,1179300
2017-05-23,Mei,2017,Standard Class,Kalimantan,South,Furniture,Bookcases,1630,4495600
2017-05-23,Mei,2017,Standard Class,Jawa,South,Office Supplies,Paper,290,1687200
2017-08-17,Agustus,2017,Standard Class,Sumatra,South,Office Supplies,Paper,30,87100
2017-08-13,Agustus,2017,Same Day,Bali,West,Office Supplies,Storage,40,101900
2017-08-13,Agustus,2017,Same Day,Papua,West,Office Supplies,Appliances,90,271500
2017-08-13,Agustus,2017,Same Day,Sulawesi,West,Office Supplies,Art,60,185800
2017-08-13,Agustus,2017,Same Day,Kalimantan,West,Office Supplies,Supplies,40,111100
2017-06-19,Juni,2017,Standard Class,Kalimantan,South,Furniture,Furnishings,20,12900
2014-03-26,Maret,2014,Standard Class,Jawa,West,Office Supplies,Paper,80,278900
2017-06-20,Juni,2017,Standard Class,Sumatra,West,Office Supplies,Art,10,21000
2017-11-22,November,2017,Standard Class,Bali,West,Office Supplies,Storage,820,292100
2017-12-31,Desember,2017,First Class,Papua,East,Office Supplies,Fasteners,10,35500
2016-01-23,Januari,2016,Second Class,Sulawesi,West,Furniture,Chairs,1020,912200
2016-01-19,Januari,2016,Standard Class,Kalimantan,East,Office Supplies,Envelopes,60,295200
2016-01-19,Januari,2016,Standard Class,Jawa,East,Office Supplies,Art,10,16300
2016-01-19,Januari,2016,Standard Class,Sumatra,East,Technology,Accessories,260,1101500
2016-09-23,September,2016,Second Class,Bali,East,Office Supplies,Binders,30,152700
2016-09-23,September,2016,Second Class,Papua,East,Office Supplies,Supplies,30,97200
2016-11-16,November,2016,Second Class,Sulawesi,West,Furniture,Furnishings,10,26800
2016-02-03,Februari,2016,Standard Class,Kalimantan,West,Office Supplies,Binders,20,70700
2017-12-19,Desember,2017,First Class,Jawa,West,Office Supplies,Art,10,21500
2017-12-19,Desember,2017,First Class,Sumatra,West,Office Supplies,Paper,20,74700
2017-12-19,Desember,2017,First Class,Bali,West,Office Supplies,Paper,40,186700
2017-11-06,November,2017,Standard Class,Papua,West,Office Supplies,Paper,30,128800
2014-05-01,Mei,2014,Second Class,Sulawesi,South,Furniture,Chairs,60,155900
2014-05-01,Mei,2014,Second Class,Kalimantan,South,Office Supplies,Binders,20,103400
2017-10-29,Oktober,2017,Standard Class,Papua,East,Office Supplies,Paper,20,68000
2017-10-29,Oktober,2017,Standard Class,Sulawesi,East,Office Supplies,Paper,30,142600
2017-10-29,Oktober,2017,Standard Class,Kalimantan,East,Furniture,Furnishings,70,348200
2017-10-29,Oktober,2017,Standard Class,Jawa,East,Technology,Phones,40,120600
2014-04-03,April,2014,Standard Class,Sumatra,East,Office Supplies,Art,50,250300
2016-01-09,Januari,2016,Standard Class,Bali,South,Technology,Copiers,960,1440000
2015-09-17,September,2015,Standard Class,Papua,East,Technology,Copiers,480,720000
2015-09-17,September,2015,Standard Class,Sulawesi,East,Office Supplies,Labels,20,72600
2017-09-15,September,2017,Standard Class,Kalimantan,South,Office Supplies,Paper,190,1019400
2016-06-17,Juni,2016,Standard Class,Kalimantan,Central,Office Supplies,Paper,30,100600
2016-07-01,Juli,2016,Standard Class,Jawa,Central,Office Supplies,Paper,40,146200
2014-09-30,September,2014,Standard Class,Sumatra,West,Office Supplies,Storage,320,967600
2017-11-09,November,2017,Standard Class,Bali,Central,Office Supplies,Paper,10,46300
2017-11-09,November,2017,Standard Class,Papua,Central,Office Supplies,Storage,60,169800
2017-11-09,November,2017,Standard Class,Sulawesi,Central,Office Supplies,Labels,20,82500
2017-02-23,Februari,2017,Standard Class,Kalimantan,West,Office Supplies,Fasteners,20,2700
2015-11-09,November,2015,Standard Class,Jawa,South,Office Supplies,Appliances,390,290400
2014-06-21,Juni,2014,Standard Class,Sumatra,East,Office Supplies,Envelopes,50,233500
2014-06-21,Juni,2014,Standard Class,Bali,East,Office Supplies,Art,40,126000
2014-06-21,Juni,2014,Standard Class,Papua,East,Office Supplies,Binders,40,172100
2015-10-17,Oktober,2015,Second Class,Sulawesi,Central,Technology,Phones,140,423500
2015-10-17,Oktober,2015,Second Class,Kalimantan,Central,Office Supplies,Binders,20,67900
2015-10-17,Oktober,2015,Second Class,Jawa,Central,Technology,Phones,270,855300
2017-08-30,Agustus,2017,First Class,Sumatra,Central,Office Supplies,Art,10,4500
2016-11-23,November,2016,Same Day,Bali,East,Office Supplies,Fasteners,20,28500
2016-11-23,November,2016,Same Day,Papua,East,Furniture,Furnishings,20,47500
2016-11-23,November,2016,Same Day,Sulawesi,East,Furniture,Furnishings,80,148000
2017-01-30,Januari,2017,Same Day,Kalimantan,West,Office Supplies,Storage,130,77600
2014-07-04,Juli,2014,Standard Class,Papua,Central,Office Supplies,Fasteners,10,36500
2014-09-05,September,2014,First Class,Sulawesi,East,Office Supplies,Appliances,20,107500
2014-09-05,September,2014,First Class,Kalimantan,East,Furniture,Furnishings,80,59400
2017-07-14,Juli,2017,Second Class,Jawa,South,Furniture,Furnishings,20,95000
2017-06-10,Juni,2017,Standard Class,Sumatra,Central,Office Supplies,Art,10,30100
2017-11-24,November,2017,Standard Class,Bali,Central,Furniture,Furnishings,20,99600
2015-08-08,Agustus,2015,Same Day,Papua,West,Office Supplies,Binders,10,26800
2015-08-08,Agustus,2015,Same Day,Sulawesi,West,Office Supplies,Binders,10,32800
2015-08-08,Agustus,2015,Same Day,Kalimantan,West,Furniture,Chairs,150,130400
2016-12-12,Desember,2016,Standard Class,Kalimantan,West,Technology,Phones,160,164700
2016-12-12,Desember,2016,Standard Class,Jawa,West,Technology,Phones,440,324000
2016-12-12,Desember,2016,Standard Class,Sumatra,West,Office Supplies,Envelopes,40,193900
2016-12-12,Desember,2016,Standard Class,Bali,West,Office Supplies,Binders,50,184200
2016-12-12,Desember,2016,Standard Class,Papua,West,Office Supplies,Paper,250,1399200
2016-12-12,Desember,2016,Standard Class,Sulawesi,West,Office Supplies,Paper,190,1070000
2016-12-12,Desember,2016,Standard Class,Kalimantan,West,Office Supplies,Binders,60,233300
2017-03-31,Maret,2017,Standard Class,Jawa,Central,Furniture,Chairs,100,174800
2017-03-31,Maret,2017,Standard Class,Sumatra,Central,Furniture,Chairs,1530,5129300
2017-03-31,Maret,2017,Standard Class,Bali,Central,Furniture,Chairs,370,487100
2017-11-24,November,2017,Standard Class,Papua,West,Office Supplies,Storage,310,915100
2017-11-24,November,2017,Standard Class,Sulawesi,West,Furniture,Furnishings,20,85300
2016-11-05,November,2016,First Class,Kalimantan,West,Furniture,Furnishings,40,197600
2017-12-18,Desember,2017,Standard Class,Jawa,West,Furniture,Furnishings,30,132300
2017-12-18,Desember,2017,Standard Class,Sumatra,West,Office Supplies,Binders,70,272900
2017-12-18,Desember,2017,Standard Class,Bali,West,Office Supplies,Envelopes,50,246500
2017-11-12,November,2017,Same Day,Papua,West,Technology,Accessories,50,156000
2017-11-12,November,2017,Same Day,Sulawesi,West,Office Supplies,Paper,30,100600
2017-11-12,November,2017,Same Day,Kalimantan,West,Furniture,Chairs,120,119600
2017-11-12,November,2017,Same Day,Papua,West,Technology,Phones,10,8400
2017-11-12,November,2017,Same Day,Sulawesi,West,Technology,Phones,680,604800
2016-08-24,Agustus,2016,Standard Class,Kalimantan,East,Technology,Phones,40,139200
2017-07-04,Juli,2017,Standard Class,Jawa,East,Furniture,Chairs,200,383300
2015-12-29,Desember,2015,Standard Class,Sumatra,West,Office Supplies,Binders,20,86800
2015-12-29,Desember,2015,Standard Class,Bali,West,Office Supplies,Fasteners,50,259000
2017-05-01,Mei,2017,Standard Class,Papua,West,Office Supplies,Paper,30,112300
2017-05-01,Mei,2017,Standard Class,Sulawesi,West,Office Supplies,Labels,40,231000
2017-12-21,Desember,2017,Second Class,Kalimantan,West,Furniture,Chairs,90,110200
2017-12-21,Desember,2017,Second Class,Kalimantan,West,Furniture,Chairs,100,72900
2017-12-21,Desember,2017,Second Class,Jawa,West,Office Supplies,Binders,30,98500
2017-12-21,Desember,2017,Second Class,Sumatra,West,Furniture,Furnishings,20,91100
2014-12-31,Desember,2014,Standard Class,Bali,Central,Office Supplies,Storage,40,36100
2017-11-09,November,2017,Second Class,Papua,South,Office Supplies,Appliances,500,524600
2017-11-09,November,2017,Second Class,Sulawesi,South,Office Supplies,Paper,40,130700
2017-11-09,November,2017,Second Class,Kalimantan,South,Furniture,Furnishings,30,76400
2017-12-20,Desember,2017,Standard Class,Jawa,Central,Office Supplies,Binders,20,62300
2015-05-12,Mei,2015,Standard Class,Sumatra,Central,Office Supplies,Paper,20,64600
2017-10-08,Oktober,2017,Second Class,Bali,East,Office Supplies,Storage,30,70500
2014-01-16,Januari,2014,Second Class,Papua,South,Furniture,Chairs,550,1048300
2015-06-17,Juni,2015,Standard Class,Sulawesi,East,Office Supplies,Paper,30,87100
2015-06-17,Juni,2015,Standard Class,Kalimantan,East,Furniture,Furnishings,50,52000
2014-07-18,Juli,2014,Standard Class,Jawa,West,Furniture,Chairs,130,166300
2014-07-18,Juli,2014,Standard Class,Sumatra,West,Office Supplies,Binders,20,45700
2014-12-11,Desember,2014,Second Class,Bali,West,Office Supplies,Storage,60,56100
2016-05-30,Mei,2016,Standard Class,Papua,South,Furniture,Furnishings,30,74900
2016-05-30,Mei,2016,Standard Class,Sulawesi,South,Office Supplies,Paper,20,111600
2016-05-30,Mei,2016,Standard Class,Kalimantan,South,Office Supplies,Storage,1270,1825500
2016-02-26,Februari,2016,Second Class,Papua,West,Technology,Accessories,20,9400
2016-02-26,Februari,2016,Second Class,Sulawesi,West,Office Supplies,Binders,20,78000
2016-02-26,Februari,2016,Second Class,Kalimantan,West,Office Supplies,Storage,450,107800
2016-02-26,Februari,2016,Second Class,Jawa,West,Office Supplies,Binders,40,131300
2016-10-06,Oktober,2016,Standard Class,Sumatra,East,Office Supplies,Appliances,70,199100
2017-03-17,Maret,2017,Standard Class,Bali,Central,Office Supplies,Binders,900,5053000
2016-09-13,September,2016,Second Class,Papua,West,Office Supplies,Binders,60,224300
2014-07-21,Juli,2014,Standard Class,Sulawesi,West,Office Supplies,Storage,60,75500
2014-06-25,Juni,2014,Standard Class,Kalimantan,East,Office Supplies,Envelopes,30,100900
2014-06-25,Juni,2014,Standard Class,Kalimantan,East,Furniture,Furnishings,10,7800
2014-06-25,Juni,2014,Standard Class,Jawa,East,Technology,Accessories,100,345500
2014-06-25,Juni,2014,Standard Class,Sumatra,East,Office Supplies,Appliances,50,46700
2015-07-10,Juli,2015,Standard Class,Bali,Central,Office Supplies,Binders,20,107200
2017-12-23,Desember,2017,Standard Class,Papua,East,Office Supplies,Binders,40,125200
2016-09-10,September,2016,First Class,Sulawesi,East,Office Supplies,Appliances,210,747000
2014-05-21,Mei,2014,Standard Class,Kalimantan,Central,Office Supplies,Binders,100,550100
2017-10-15,Oktober,2017,First Class,Jawa,East,Office Supplies,Appliances,910,3040500
2014-10-29,Oktober,2014,Standard Class,Sumatra,West,Office Supplies,Binders,40,133700
2016-12-06,Desember,2016,First Class,Bali,South,Furniture,Furnishings,200,897800
2016-07-29,Juli,2016,Standard Class,Papua,East,Office Supplies,Appliances,250,329300
2017-04-23,April,2017,Standard Class,Sulawesi,West,Office Supplies,Paper,30,87100
2015-11-14,November,2015,Standard Class,Kalimantan,West,Office Supplies,Fasteners,10,2500
2015-11-14,November,2015,Standard Class,Jawa,West,Office Supplies,Paper,100,501900
2015-11-14,November,2015,Standard Class,Sumatra,West,Furniture,Furnishings,70,264100
2015-11-14,November,2015,Standard Class,Bali,West,Office Supplies,Binders,100,343800
2015-11-13,November,2015,Standard Class,Papua,East,Office Supplies,Binders,60,211800
2015-11-13,November,2015,Standard Class,Sulawesi,East,Office Supplies,Paper,20,96900
2017-04-26,April,2017,Standard Class,Kalimantan,East,Furniture,Furnishings,260,0
2014-08-24,Agustus,2014,Same Day,Papua,West,Office Supplies,Binders,10,32400
2017-12-21,Desember,2017,Standard Class,Sulawesi,South,Furniture,Chairs,510,969500
2016-03-28,Maret,2016,Standard Class,Kalimantan,West,Technology,Phones,410,302400
2015-09-27,September,2015,Standard Class,Jawa,Central,Furniture,Bookcases,200,373100
2015-09-27,September,2015,Standard Class,Sumatra,Central,Office Supplies,Art,30,90500
2017-09-21,September,2017,Standard Class,Bali,East,Office Supplies,Paper,30,87100
2015-06-16,Juni,2015,Standard Class,Papua,South,Technology,Accessories,60,122500
2015-06-16,Juni,2015,Standard Class,Sulawesi,South,Office Supplies,Binders,40,200200
2015-06-16,Juni,2015,Standard Class,Kalimantan,South,Office Supplies,Art,60,189200
2015-06-16,Juni,2015,Standard Class,Kalimantan,South,Office Supplies,Paper,40,186700
2015-06-16,Juni,2015,Standard Class,Jawa,South,Furniture,Furnishings,30,129500
2016-05-09,Mei,2016,Standard Class,Sumatra,South,Furniture,Furnishings,20,40200
2017-09-12,September,2017,Same Day,Bali,West,Office Supplies,Paper,20,74700
2017-09-12,September,2017,Same Day,Papua,West,Office Supplies,Envelopes,30,130500
2017-09-12,September,2017,Same Day,Sulawesi,West,Furniture,Chairs,2060,3081500
2017-11-10,November,2017,Second Class,Kalimantan,Central,Office Supplies,Art,20,43400
2017-11-10,November,2017,Second Class,Jawa,Central,Office Supplies,Paper,30,145700
2014-10-04,Oktober,2014,Standard Class,Sumatra,West,Office Supplies,Binders,50,162000
2017-04-04,April,2017,First Class,Bali,South,Furniture,Tables,420,840100
2017-04-04,April,2017,First Class,Papua,South,Technology,Accessories,360,1555200
2017-10-11,Oktober,2017,Standard Class,Sulawesi,West,Furniture,Furnishings,50,35300
2017-10-11,Oktober,2017,Standard Class,Kalimantan,West,Office Supplies,Appliances,230,792900
2017-10-11,Oktober,2017,Standard Class,Jawa,West,Office Supplies,Paper,40,218600
2016-04-14,April,2016,Second Class,Sumatra,Central,Technology,Phones,520,1615900
2016-04-14,April,2016,Second Class,Bali,Central,Office Supplies,Binders,10,29200
2015-09-01,September,2015,Standard Class,Papua,Central,Technology,Copiers,2800,10499900
2017-10-24,Oktober,2017,Second Class,Sulawesi,West,Office Supplies,Envelopes,10,51700
2017-10-24,Oktober,2017,Second Class,Kalimantan,West,Office Supplies,Labels,40,181500
2017-10-24,Oktober,2017,Second Class,Papua,West,Furniture,Furnishings,40,124700
2016-11-12,November,2016,Standard Class,Sulawesi,East,Technology,Accessories,120,270000
2017-03-07,Maret,2017,Standard Class,Kalimantan,Central,Office Supplies,Paper,30,117000
2015-11-29,November,2015,First Class,Jawa,East,Technology,Phones,90,282200
2015-11-29,November,2015,First Class,Sumatra,East,Technology,Accessories,110,88200
2017-03-18,Maret,2017,Second Class,Bali,West,Office Supplies,Storage,100,305100
2017-03-18,Maret,2017,Second Class,Papua,West,Technology,Phones,150,591100
2017-03-18,Maret,2017,Second Class,Sulawesi,West,Technology,Accessories,220,1057600
2017-03-18,Maret,2017,Second Class,Kalimantan,West,Office Supplies,Paper,50,261300
2017-03-18,Maret,2017,Second Class,Kalimantan,West,Office Supplies,Paper,290,1660300
2017-11-30,November,2017,Same Day,Jawa,East,Office Supplies,Appliances,670,996000
2014-11-22,November,2014,Standard Class,Sumatra,East,Office Supplies,Storage,2940,9507300
2014-11-22,November,2014,Standard Class,Bali,East,Furniture,Furnishings,130,179200
2014-11-22,November,2014,Standard Class,Papua,East,Office Supplies,Art,60,318800
2016-01-05,Januari,2016,First Class,Sulawesi,West,Office Supplies,Storage,120,343400
2015-10-08,Oktober,2015,Standard Class,Kalimantan,West,Furniture,Bookcases,130,221500
2014-07-24,Juli,2014,Standard Class,Jawa,Central,Office Supplies,Storage,350,462900
2014-05-25,Mei,2014,Standard Class,Sumatra,West,Office Supplies,Art,40,126100
2017-09-05,September,2017,First Class,Bali,West,Office Supplies,Paper,20,74700
2017-09-05,September,2017,First Class,Papua,West,Technology,Phones,50,181400
2017-06-02,Juni,2017,Standard Class,Sulawesi,South,Office Supplies,Binders,60,336100
2017-06-02,Juni,2017,Standard Class,Kalimantan,South,Technology,Phones,540,1620000
2014-02-03,Februari,2014,Standard Class,Jawa,East,Office Supplies,Binders,10,16000
2017-02-14,Februari,2017,Standard Class,Sumatra,Central,Technology,Accessories,130,192000
2017-04-02,April,2017,Second Class,Bali,South,Furniture,Furnishings,70,307500
2017-04-02,April,2017,Second Class,Papua,South,Technology,Phones,680,2257700
2016-03-08,Maret,2016,Standard Class,Sulawesi,East,Office Supplies,Binders,450,2633500
2016-03-08,Maret,2016,Standard Class,Kalimantan,East,Technology,Phones,480,1555100
2016-03-08,Maret,2016,Standard Class,Papua,East,Office Supplies,Paper,170,958700
2015-08-23,Agustus,2015,Same Day,Sulawesi,Central,Office Supplies,Supplies,40,33300
2015-08-23,Agustus,2015,Same Day,Kalimantan,Central,Office Supplies,Paper,20,43600
2015-08-23,Agustus,2015,Same Day,Jawa,Central,Office Supplies,Fasteners,20,27100
2017-05-01,Mei,2017,Standard Class,Sumatra,Central,Office Supplies,Labels,40,139200
2017-04-19,April,2017,Standard Class,Bali,East,Office Supplies,Binders,20,42100
2017-04-19,April,2017,Standard Class,Papua,East,Furniture,Bookcases,250,109100
2017-12-27,Desember,2017,Second Class,Sulawesi,East,Office Supplies,Supplies,700,417100
2017-12-27,Desember,2017,Second Class,Kalimantan,East,Furniture,Bookcases,230,610000
2017-03-29,Maret,2017,Standard Class,Kalimantan,East,Office Supplies,Paper,30,138700
2016-07-29,Juli,2016,Standard Class,Jawa,Central,Office Supplies,Labels,20,68400
2017-07-14,Juli,2017,Standard Class,Sumatra,Central,Office Supplies,Storage,300,313400
2016-07-22,Juli,2016,Standard Class,Bali,Central,Office Supplies,Paper,30,121100
2016-07-22,Juli,2016,Standard Class,Papua,Central,Office Supplies,Storage,250,58400
2016-07-22,Juli,2016,Standard Class,Sulawesi,Central,Office Supplies,Paper,10,45000
2016-07-22,Juli,2016,Standard Class,Kalimantan,Central,Office Supplies,Paper,60,304900
2016-07-22,Juli,2016,Standard Class,Jawa,Central,Office Supplies,Storage,270,572800
2016-08-30,Agustus,2016,Standard Class,Sumatra,West,Technology,Machines,840,753900
2016-08-30,Agustus,2016,Standard Class,Bali,West,Office Supplies,Envelopes,140,766500
2016-08-30,Agustus,2016,Standard Class,Papua,West,Office Supplies,Paper,40,204000
2016-08-30,Agustus,2016,Standard Class,Sulawesi,West,Office Supplies,Appliances,50,134500
2016-08-30,Agustus,2016,Standard Class,Kalimantan,West,Office Supplies,Supplies,20,2000
2015-06-12,Juni,2015,First Class,Jawa,South,Technology,Phones,250,374400
2015-06-12,Juni,2015,First Class,Sumatra,South,Furniture,Furnishings,50,87700
2015-06-12,Juni,2015,First Class,Bali,South,Office Supplies,Art,70,91200
2015-06-12,Juni,2015,First Class,Papua,South,Office Supplies,Storage,1040,622000
2015-06-12,Juni,2015,First Class,Sulawesi,South,Office Supplies,Storage,570,253800
2017-10-06,Oktober,2017,Standard Class,Kalimantan,East,Office Supplies,Paper,50,277100
2014-12-17,Desember,2014,First Class,Papua,West,Furniture,Furnishings,50,176100
2014-12-17,Desember,2014,First Class,Sulawesi,West,Furniture,Chairs,250,217500
2014-12-17,Desember,2014,First Class,Kalimantan,West,Technology,Accessories,400,474000
2014-12-17,Desember,2014,First Class,Jawa,West,Technology,Phones,630,846700
2014-08-26,Agustus,2014,First Class,Sumatra,East,Furniture,Furnishings,20,76500
2014-08-26,Agustus,2014,First Class,Bali,East,Office Supplies,Binders,20,53300
2017-11-18,November,2017,Standard Class,Papua,Central,Technology,Phones,70,102000
2017-11-18,November,2017,Standard Class,Sulawesi,Central,Office Supplies,Envelopes,20,53200
2015-04-28,April,2015,First Class,Kalimantan,East,Office Supplies,Appliances,210,1090000
2017-09-27,September,2017,Second Class,Kalimantan,East,Technology,Accessories,120,431900
2017-09-27,September,2017,Second Class,Jawa,East,Office Supplies,Art,20,11200
2017-02-13,Februari,2017,Second Class,Sumatra,West,Furniture,Chairs,970,1300300
2017-02-13,Februari,2017,Second Class,Bali,West,Technology,Phones,90,93300
2014-07-03,Juli,2014,Second Class,Papua,West,Office Supplies,Art,40,124500
2016-06-10,Juni,2016,First Class,Sulawesi,East,Office Supplies,Paper,40,186700
2014-12-25,Desember,2014,Standard Class,Kalimantan,West,Office Supplies,Labels,40,178900
2015-12-18,Desember,2015,First Class,Jawa,East,Technology,Accessories,2030,7291300
2015-12-18,Desember,2015,First Class,Sumatra,East,Furniture,Furnishings,270,828100
2017-07-24,Juli,2017,Standard Class,Bali,Central,Office Supplies,Binders,740,3974300
2014-08-05,Agustus,2014,Second Class,Papua,West,Office Supplies,Paper,100,404700
2015-08-28,Agustus,2015,Standard Class,Sulawesi,East,Technology,Accessories,30,140400
2016-03-27,Maret,2016,First Class,Kalimantan,South,Office Supplies,Storage,70,71100
2014-09-25,September,2014,Standard Class,Jawa,West,Office Supplies,Envelopes,20,87800
2014-09-25,September,2014,Standard Class,Sumatra,West,Office Supplies,Envelopes,80,441900
2014-09-25,September,2014,Standard Class,Bali,West,Office Supplies,Art,60,185800
2014-09-25,September,2014,Standard Class,Papua,West,Office Supplies,Paper,40,208100
2014-09-25,September,2014,Standard Class,Sulawesi,West,Technology,Phones,240,288000
2014-09-25,September,2014,Standard Class,Kalimantan,West,Office Supplies,Paper,20,113800
2016-10-31,Oktober,2016,First Class,Papua,Central,Furniture,Furnishings,70,386000
2016-06-03,Juni,2016,Standard Class,Sulawesi,South,Office Supplies,Paper,70,233300
2017-12-26,Desember,2017,Second Class,Kalimantan,South,Office Supplies,Binders,30,134700
2016-03-28,Maret,2016,Standard Class,Jawa,Central,Furniture,Chairs,530,0
2016-03-28,Maret,2016,Standard Class,Sumatra,Central,Office Supplies,Art,20,18100
2017-11-18,November,2017,Standard Class,Bali,Central,Office Supplies,Art,190,611100
2017-09-29,September,2017,Standard Class,Papua,West,Technology,Accessories,50,7200
2017-09-10,September,2017,Same Day,Sulawesi,East,Office Supplies,Paper,20,108100
2017-12-11,Desember,2017,Standard Class,Kalimantan,East,Furniture,Furnishings,30,72900
2017-12-11,Desember,2017,Standard Class,Kalimantan,East,Furniture,Furnishings,60,218300
2017-12-11,Desember,2017,Standard Class,Jawa,East,Office Supplies,Appliances,260,825900
2017-11-12,November,2017,Second Class,Sumatra,East,Office Supplies,Binders,10,53300
2017-11-12,November,2017,Second Class,Bali,East,Technology,Accessories,830,4265400
2017-11-12,November,2017,Second Class,Papua,East,Office Supplies,Storage,1640,5683400
2017-11-12,November,2017,Second Class,Sulawesi,East,Office Supplies,Storage,550,1894500
